Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
SPL_Sep3,Duplicity_Checker_package.Code,ButtonSound,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OFFvariable; ONvariable
SPL_Sep3,Duplicity_Checker_package.Code,Home,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: volume_icon_variable
